,marital,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,edu_primary,edu_secondary,edu_tertiary,edu_unknown,housing,loan,po_failure,po_other,po_success,po_unknown,cont_cellular,cont_telephone,cont_unknown,age,default,balance,duration,campaign,pdays,previous,deposit
9063,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,-1.0324164064634573,-0.1243657856067806,-0.2999895517158093,-0.5244557407268635,0.5395860756939912,-0.4824295273010987,-0.35863459101018713,0
1949,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,-0.2785088857469526,-0.1243657856067806,-0.47763716702980047,0.4591383086136974,-0.18902852844538837,-0.4824295273010987,-0.35863459101018713,1
3821,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,-0.7811138995579557,-0.1243657856067806,0.08413853794219259,-0.21870509782334602,-0.5533358305150782,1.1921286209540924,1.3602318948352023,1
1555,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0.30786363036588443,8.040796712061926,-0.614980785850216,0.9206487129963653,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,1
2252,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.05656112346038285,-0.1243657856067806,-0.26557613932514085,-0.475420260261205,-0.5533358305150782,-0.4824295273010987,-0.35863459101018713,1
47,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0.8942361464787214,-0.1243657856067806,0.7386134348494098,1.6446431598716755,0.17527877362430141,-0.4824295273010987,-0.35863459101018713,1
8424,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,-0.44604389035062025,-0.1243657856067806,-0.3096005047258158,0.6697024306132896,1.2682006798333707,-0.4824295273010987,-0.35863459101018713,0
10383,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.559166137271386,-0.1243657856067806,0.21280129597937641,-0.7898242232468975,3.45404449225151,-0.4824295273010987,-0.35863459101018713,0
3987,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-0.8648814018597896,-0.1243657856067806,1.0573250378909158,-0.2504339381246544,0.17527877362430141,0.267918932572812,0.9305152733738551,1
4921,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,-0.44604389035062025,8.040796712061926,-0.47763716702980047,0.9091109528867986,1.6325079819030606,-0.4824295273010987,-0.35863459101018713,1
