URLSimilarityIndex,SpacialCharRatioInURL,IsHTTPS,DomainTitleMatchScore,URLTitleMatchScore,IsResponsive,HasDescription,HasSocialNet,HasSubmitButton,HasHiddenFields,HasCopyrightInfo,TLD_numeric,label
100.0,0.032,1,0.0,0.0,1,0,0,1,1,1,231,1
100.0,0.087,1,55.55555556,55.55555556,0,0,1,1,0,1,254,1
100.0,0.069,1,46.66666667,46.66666667,1,1,0,1,1,1,647,1
100.0,0.038,1,0.0,0.0,1,0,1,1,1,1,231,1
100.0,0.03,1,100.0,100.0,1,1,1,1,1,1,503,1
100.0,0.033,1,0.0,0.0,1,1,1,0,1,1,503,1
100.0,0.04,1,0.0,0.0,1,0,1,0,1,1,231,1
100.0,0.04,1,100.0,100.0,1,1,1,1,0,1,231,1
100.0,0.034,1,100.0,100.0,1,1,1,1,1,1,368,1
100.0,0.056,1,0.0,0.0,1,1,1,0,0,1,503,1
100.0,0.03,1,55.55555556,55.55555556,1,1,1,1,0,1,231,1
82.6446281,0.045,0,0.0,0.0,0,0,0,0,0,0,231,0
100.0,0.037,1,50.0,50.0,0,1,0,1,1,1,503,1
100.0,0.05,1,0.0,0.0,1,0,1,0,0,0,231,1
100.0,0.038,1,100.0,100.0,1,0,1,1,1,1,231,1
100.0,0.042,1,0.0,0.0,1,0,0,1,0,1,231,1
100.0,0.05,1,100.0,100.0,1,0,1,1,0,1,364,1
100.0,0.048,1,100.0,100.0,1,1,1,1,1,1,361,1
100.0,0.048,1,0.0,0.0,1,1,1,1,1,1,231,1
100.0,0.091,1,80.0,80.0,1,1,0,0,0,0,368,1
55.28492647,0.077,0,0.0,0.0,0,0,0,0,0,0,553,0
56.55114117,0.042,0,0.0,0.0,0,0,0,0,0,0,336,0
100.0,0.036,1,0.0,0.0,1,1,1,0,1,1,231,1
100.0,0.034,1,100.0,100.0,1,1,1,0,0,1,280,1
100.0,0.091,1,0.0,0.0,0,1,0,1,1,1,387,1
100.0,0.04,1,100.0,100.0,1,0,0,0,0,1,231,1
100.0,0.028,1,100.0,100.0,1,1,1,0,0,1,344,1
64.64526358,0.081,1,0.0,0.0,0,0,0,0,0,0,231,0
45.84980237,0.094,0,5.263157895,5.263157895,1,0,0,0,0,0,254,0
54.51591943,0.115,1,0.0,0.0,1,0,0,0,0,0,132,0
100.0,0.048,1,100.0,100.0,1,1,1,0,1,1,231,1
9.669201014,0.077,1,0.0,2.53164557,1,0,0,1,0,0,376,0
36.61221591,0.125,0,0.0,0.0,0,0,0,0,0,0,231,0
100.0,0.042,1,0.0,0.0,0,0,1,0,1,1,231,1
63.90532544,0.086,1,0.0,0.0,1,0,0,0,0,0,231,0
100.0,0.087,1,0.0,0.0,1,1,1,1,1,1,647,1
100.0,0.031,1,0.0,0.0,1,1,1,1,0,1,231,1
79.25925926,0.053,0,0.0,0.0,0,0,0,0,0,0,231,0
100.0,0.053,1,100.0,100.0,1,0,1,0,0,1,376,1
76.65441176,0.037,0,100.0,100.0,1,0,0,0,0,0,231,0
47.36639754,0.074,0,0.0,0.0,0,0,0,0,0,0,223,0
49.27777778,0.094,1,0.0,0.0,1,0,0,0,0,0,132,0
100.0,0.042,1,100.0,100.0,1,1,1,1,1,0,231,1
100.0,0.034,1,100.0,100.0,0,1,1,1,1,1,303,1
34.32722951,0.122,1,0.0,0.0,1,0,0,0,0,0,132,0
9.20379461,0.1,1,0.0,100.0,0,0,0,0,0,0,231,0
100.0,0.037,1,100.0,100.0,1,1,0,0,0,1,231,1
100.0,0.074,1,0.0,0.0,1,0,1,1,1,1,141,1
100.0,0.042,1,100.0,100.0,0,0,1,0,0,1,231,1
65.84022039,0.045,0,0.0,0.0,0,0,0,0,0,0,629,0
76.13412229,0.088,1,0.0,0.0,0,0,0,0,0,0,376,0
100.0,0.042,1,100.0,100.0,1,1,1,1,1,1,231,1
64.42974165,0.062,1,100.0,100.0,0,0,0,0,0,0,231,0
100.0,0.04,1,100.0,100.0,0,0,1,1,0,0,231,1
72.10884354,0.042,0,100.0,100.0,0,0,0,0,0,0,231,0
100.0,0.053,1,0.0,0.0,1,1,1,0,0,0,553,1
100.0,0.038,1,100.0,100.0,1,1,1,1,1,1,231,1
32.01743956,0.083,1,0.0,95.23809524,1,0,0,1,1,0,222,0
100.0,0.048,1,100.0,100.0,0,0,0,0,0,1,503,1
51.95337114,0.1,1,0.0,0.0,0,0,0,0,0,0,132,0
62.82548476,0.033,0,0.0,0.0,0,0,0,0,0,0,231,0
100.0,0.057,1,0.0,0.0,1,1,1,0,0,1,179,1
100.0,0.04,1,100.0,100.0,1,1,1,1,1,1,231,1
100.0,0.059,1,0.0,0.0,1,1,1,0,0,0,532,1
100.0,0.042,1,77.77777778,77.77777778,1,1,1,0,1,1,231,1
100.0,0.04,1,0.0,0.0,1,1,1,1,1,1,503,1
100.0,0.04,1,0.0,0.0,1,1,1,0,0,1,226,1
100.0,0.05,1,100.0,100.0,1,1,1,0,0,1,426,1
48.80952381,0.067,0,0.0,0.0,0,0,0,0,0,0,503,0
